Description,Product
"Hehkuvan ihon salaisuus! Nordic-C [Valo] -tuotteissa yhdistyvät suomalainen, antioksidanttipitoinen lakka, kirkastava C-vitamiini, kosteuttava hyaluronihappo sekä puhdas pohjoinen lähdevesi. Lopputuloksena kauniin säteilevä iho.",Nordic-C [Valo]
"Jätä hyvästit kuivalle iholle! Nordic Hydra [Lähde] -tuotesarja yhdistää puhtaan pohjoisen lähdeveden tehokkaasti kosteuttavaan, mineraalipitoiseen koivunmahlaan. Tuotteet sisältävät runsaasti luonnollisia kosteuttavia raaka-aineita, jotka jättävät ihon täyteläiseksi, kimmoisaksi ja raikkaan heleäksi.",Nordic Hydra [Lähde]
"Uniikki pohjoisen marjojen pre-retinoli-yhdiste auttaa vähentämään juonteiden ja ryppyjen näkymistä sekä parantaa ihon sävyä ja rakennetta. Patentoitu pohjoinen puolukkauute auttaa ihon kimmoisuuden säilymisessä. Nauti sileämmän ja kiinteämmän näköisestä, säteilevästä ihosta!",Nordic Bloom [Lumo]
"Rauhoita herkkää ihoasi kasvojenhoitosarjalla, joka vahvistaa ihon omaa suojamuuria. Sen kaurakeramideja ja mustikkaa sisältävät koostumukset jättävät ihon hyvinvoivan ja rauhoittuneen tuntuiseksi.",Nordic Sensitive [Herkkä]
"Nordic Ageless [Ajaton] -tuotesarjan kosteuttavat ja ravitsevat koostumukset sisältävät yhdistelmän ihon superfoodia, kuten puolukan kantasolu-uutetta, fermentoitua lakkaa ja kanervan kukkauutetta. Nämä yhdessä auttavat palauttamaan ihosi nuorekkaan näköiseksi ja hyvinvoivan hehkuvaksi.",Nordic Ageless [Ajaton]
"Invisible Illumination -tuotelinjan kevyet, puhdasta pohjoista lähdevettä sisältävät koostumukset mullistavat käsityksesi meikeistä. Hoitavia pohjoisia ainesosia sisältävät tuotteet auttavat heleyttämään, kosteuttamaan ja hoitamaan ihoa saaden ihosi näyttämään hyvinvoivalta ja hehkuvalta.",Invisible Illumination
"Pitkäkestoiset Blur-tuotteet tasoittavat ihon tekstuuria ja auttavat saavuttamaan virheettömän, tasaisen meikkipohjan. Hoitavan pohjoisen kanervan ja kosteuttavan pohjoisen lähdeveden avulla koostumukset levittyvät iholle kauniisti ja samalla tarjoavat iholle ihonhoidollisia ominaisuuksia.",Blur
"Hyvinvoivien hiusten perusta on tasapainoinen hiuspohja. Hemmottele hiuksiasi uusilla, hiuksia ja hiuspohjaa hellivillä hiustenhoidon koostumuksillamme, jotka tukevat hiusten hyvinvointia ja kauneutta juurista latvoihin. LUMENE shampoot ja hoitoaineet ovat saaneet inspiraationsa palkituista ihonhoidon sarjoistamme – Nordic-C [Valo], Nordic Hydra [Lähde] ja Nordic Bloom [Lumo]. ",Hair care
